Суффиксы;Значение
адь;жена, женщина
ак;для фамильярных названий лиц мужского пола
алей;для фамильярных названий лиц мужского пола
ан;"1) часть тела, характеризующаяся интенсивным признаком; 2) название животного; 3) лицо, склонное к тому, что названо исходным словом"
ян;"1) часть тела, характеризующаяся интенсивным признаком; 2) название животного; 3) лицо, склонное к тому, что названо исходным словом"
анин;значение лица по месту жительства
янин;значение лица по месту жительства
ар;"1) названия профессий лиц мужского пола; 2) характеристика лиц мужского пола"
арь;"1) названия профессий лиц мужского пола; 2) характеристика лиц мужского пола"
ач;"1) лицо по преобладающему признаку; 2) предмет, который служит для выполнения действия"
ени;слова со значением действия
от;"1) отвлечённый признак; 2) совокупность лиц; 3) действия со значением шума"
ет ;"1) отвлечённый признак; 2) совокупность лиц; 3) действия со значением шума"
еств ;"1) союз, объединение людей, названных в исходном слове; 2) учреждение; 3) отвлечённый признак; 4) лицо, наделённое признаком исходного слова"
ств;"1) союз, объединение людей, названных в исходном слове; 2) учреждение; 3) отвлечённый признак; 4) лицо, наделённое признаком исходного слова"
есть;отвлечённый признак или состояние
ость ;отвлечённый признак или состояние
ец;"1) лицо по принадлежности к месту жительства; 2) лицо, характеризующееся каким-либо признаком; 3) предмет или явление, характеризующеся признаком, выраженным в исходном слове; 4) субъективная оценка"
изм;состояние, качество, названия учений и общественных течений
изн;"1) отвлечённый признак; 2) глагол со значение действия"
ик;"1) лицо по свойству или признаку, которое определяет его отношение к предмету или занятию; 2)  предмет, предназначенный для чего-либо; 3) предмет, обозначающий книгу ли сочинение; 4) пространство или территория, покрытая чем-либо или содержащая что-либо; 5) суффикс субъективной оценки"
ин;"1) вид мяса или рыбы; 2) один предмет из ряда одинаковых; 3) отвлечённый признак; 4) результат или орудие действия; 5) лицо, которое является представителем какой-либо нации или жителем какого-либо государства и т.д. 6) объективная оценка"
ист;принадлежность к профессии, учреждению или общественному направлению 
иц;"1) предмет-вместилище чего-нибудь; 2) названия самок животных; 3) суффикс объективной оценки"
ниц;"1) предмет-вместилище чего-нибудь; 2) названия самок животных; 3) суффикс объективной оценки"
их;названия самок животных
к;"1) лица женского пола от соответствующих имён существительных мужского; 2) предмет, предназначенный для выполнения действия; 3) предмет-результат действия; 4)  действие; 5) суффикс субъективной оценки"
л;"1) лица, которые постоянно или обычно выполняют действие; 2) премет, предназначенный для выполнения действия; 3) предмет или явление, характеризующиеся действием, названным исходным словом"
лк;"1) предмет, предназначенный для выполнения действия; 2) помещение, предназначенное для осуществления действия; 3) названия лиц, выполнеющих действия"
льн;"1) существительные со значением места совершения действия; 2) прилигательное со значением предназначенности для выполнения действия"
льник;предмет, предназначенный для выполнения  действия
льщик;лицо по роду деятельности, занятию, действию
льщиц;лицо по роду деятельности, занятию, действию
тель;"1) предмет, который производит действия; 2) лицо, принадлжащее к той или иной профессии"
итель;"1) предмет, который производит действия; 2) лицо, принадлжащее к той или иной профессии"
ун;"1) лицо по действию, характерному для него; 2) животные по характерному для них признаку"
чик;"1) лицо по роду деятельности; 2) предмет, который производит действия"
чиц;"1) лицо по роду деятельности; 2) предмет, который производит действия"
щик;"1) лицо по роду деятельности; 2) предмет, который производит действия"
;
ал ;такой, каким становятся под влиянием действия
ел;такой, каким становятся под влиянием действия
ан;"1) сделанный из того или иного материала или относящийся к чему-то; 2) предназначенный для помещения чего-либо; 3) работающий на том, что названо исходным словом"
ян;"1) сделанный из того или иного материала или относящийся к чему-то; 2) предназначенный для помещения чего-либо; 3) работающий на том, что названо исходным словом"
аст ;части тела человека или животного, внешние качества человека, аксессуары его внешности
ат;части тела человека или животного, внешние качества человека, аксессуары его внешности
ев;"1) принадлежность предмета лицу или животному; 2) сделанный из чего-либо, относящийся к чему-либо"
ов;"1) принадлежность предмета лицу или животному; 2) сделанный из чего-либо, относящийся к чему-либо"
енн;"1) признак или свойство; 2) подверженность действию, результат действия или характеризуемость действием"
онн;"1) признак или свойство; 2) подверженность действию, результат действия или характеризуемость действием"
енск;географическое название
инск;географическое название
ив;"1) постоянное свойство, качество; 2) обладание каким-либо качеством в наибольшей степени"
ин;обозначение людей и животных
ист;"1) похожий на что-то; 2) обладащющий чем-то в большом количестве; 3) имеющий склонность к какому-либо действию"
ит ;обладающий в большей степени чем-нибудь
овит;обладающий в большей степени чем-нибудь
к;"1) склонный к какому-нибудь действию; 2) такой, что делает что-то; 3) такой, с которым часто что-нибудь делается"
л;"1) находящийся в состоянии, которое возникло в результате действия, названного исходным словом; 2) обладающий признаком, названным в исходном слове"
лив;"1) состояние, действие, свойство; 2) склонность к чему-нибудь; 3) обладание каким-нибудь качеством"
н ;"1) признак или свойство, относящееся к предмету, действию, свойству и т.д., названному исходным словом; 2) подверженность какому-либо действию или результату действия"
шн;"1) признак или свойство, относящееся к предмету, действию, свойству и т.д., названному исходным словом; 2) подверженность какому-либо действию или результату действия"
оват;"1) отчасти напоминающий кого-либо или имеющий некоторое свойство чего-либо; 2) оттенк ослабленного качества"
еват;"1) отчасти напоминающий кого-либо или имеющий некоторое свойство чего-либо; 2) оттенк ослабленного качества"
тельн;"1) производящий или способный произвести действие; 2) являющийся объектом действия или способный им стать; 3) предназначенный для выолнения действия; 4) указывающий на определённую связь с действием"
уч;склонный к какому-нибудь действию
юч;склонный к какому-нибудь действию
яч;склонный к какому-нибудь действию
чат;"1) обладающий чем-нибудь, имеющий в большом количестве или в большой степени чего-нибудь; 2) наполняющий каким-нибудь качеством или свойством то, что обозначено исходным словом"
чив;способный проявлять какое-нибудь свойство
;
ать;"1) образует глаголы от существиельных с общим значением действия; 2) образует глаголы от междометий и звукоподражательных слов"
ять ;образует глаголы от существиельных с общим значением действия
кать;образует глаголы от междометий и звукоподражательных слов
еть;"1) станоситься кем-нибудь, каким-нибудь; 2) быть таким, каким называет исходное слово"
ить;"1) совершать действие, своейственное тому, что названо в исходном слове; 2) превращать в кого-либо, делать кем-либо; 3) действовать с помощью предмета; 4) иметь место, происходить (о явлениях природы); 5) наделение качеством, названным в осходном слове; 6) приведение в состояние, названное в исходном слове; 7) удаление чего-либо, названного исходным словом, с поверхности или изнутри; 8) действие или признак, названный в исходном слове"
ничать;"1) заниматься деятельностью; 2) обнаруживать склонность к какой-либо деятельности"
нуть;значение мгновенности, моментальности
овать;"1) осуществлять что-либо; 2) находиться в каком-либо состоянии; 3) предаваться какой-нибудь деятельности"
евать;"1) осуществлять что-либо; 2) находиться в каком-либо состоянии; 3) предаваться какой-нибудь деятельности"
ствовать;"1) осуществлять что-либо; 2) находиться в каком-либо состоянии; 3) предаваться какой-нибудь деятельности"
ся;"1) лицо, совершающее действие, направленное на самого себя; 2) внутреннее состояние субъекта, настроение, переживания; 3) движение, совершаемое субъектом; 4) действие, постоянно свойственное субъекту; 5) действие, совершаемое несколькими лицами; 6) действие, совершаемое субъектом для себя, в своих интересах; 7) полнота проявления действия, удовлетворённость действием"
сь;"1) лицо, совершающее действие, направленное на самого себя; 2) внутреннее состояние субъекта, настроение, переживания; 3) движение, совершаемое субъектом; 4) действие, постоянно свойственное субъекту; 5) действие, совершаемое несколькими лицами; 6) действие, совершаемое субъектом для себя, в своих интересах; 7) полнота проявления действия, удовлетворённость действием"
;
а ;оценка действия
о ;оценка действия
е ;оценка действия
и ;образует наречия от основ прилагательных, имеющих суффикс -ск-
жды;образует наречия от количественных числительных
учи;образует наречия от основ глаголов
ючи;образует наречия от основ глаголов
то;наречия, в которых при самом обобщённом указании на место, время, образ действия они остаются неясными
либо;наречия, в которых при самом обобщённом указании на место, время, образ действия они остаются неясными
нибудь;наречия, в которых при самом обобщённом указании на место, время, образ действия они остаются неясными
;
;
*Суффиксы субъективной оценки образуют формы слов с эмоционально-экспрессивной окраской;
